IoU,CORR,SAM,SPEAR,model
0.488,0.6508447859379057,0.2412722270920068,0.4029042909042909,gpt2-sm
0.4175,0.7177937669573231,0.2434463971213754,0.03665318465318466,gpt2-sm
0.2546,0.4675065083464826,0.3512169888790262,0.05943531543531543,gpt2-sm
0.3743,0.6987043206454517,0.2548947322805144,-0.06929091329091329,gpt2-sm
0.2884,0.5181303207077722,0.324557386405689,0.0196986916986917,gpt2-sm
0.3143,0.4809293796754645,0.3387126354432517,-0.04595007395007395,gpt2-sm
0.3459,0.6638391148922484,0.2689659148075322,0.07746215346215346,gpt2-sm
0.3971,0.66500211466878,0.26728835160968345,-0.12236160236160236,gpt2-sm
0.3295,0.5625994414800561,0.3096764058804589,0.039077271077271075,gpt2-sm
0.1892,0.2930047844694516,0.4039995544569402,-0.011905835905835906,gpt2-sm
0.2372,0.3755132925825749,0.37795079530312076,-0.027305871305871306,gpt2-sm
0.4412,0.8108769613364982,0.19932443528950053,-0.09167248367248368,gpt2-sm
0.3234,0.5861533155894866,0.2998545394818339,-0.04010948810948811,gpt2-sm
0.2689,0.3409438077829541,0.3834151012953981,-0.07755088155088156,gpt2-sm
0.4697,0.549783758414192,0.27566653290989745,0.04741142341142342,gpt2-sm
0.4288,0.8058523345082457,0.20119959363137593,-0.01634111234111234,gpt2-sm
0.2851,0.49003078471349854,0.3383709045887085,0.0006661446661446661,gpt2-sm
0.2723,0.41578388143195144,0.36193558468984277,0.005357777357777358,gpt2-sm
0.3394,0.5649645599428477,0.3045037220632331,-0.0363946443946444,gpt2-sm
0.3926,0.7540486060256448,0.22783131856424907,0.0021611421611421613,gpt2-sm
0.4068,0.8300071071590988,0.1880739509589504,-0.015550551550551552,gpt2-sm
0.3559,0.6381463536484174,0.27816034407883433,-0.03392103392103392,gpt2-sm
0.2196,0.43175287305713494,0.3556699681941641,0.05006353406353407,gpt2-sm
0.5045,0.7563323637413945,0.2252522760796087,0.08600942600942602,gpt2-sm
0.2018,0.29141657235746515,0.40359921582424513,-0.004016356016356017,gpt2-sm
0.4044,0.871480658135792,0.16285258821450577,-0.048977268977268985,gpt2-sm
0.4293,0.7926788513214827,0.2088185484265274,-0.09811865011865012,gpt2-sm
0.3801,0.7585196326224433,0.22466923824048457,0.01651672051672052,gpt2-sm
0.3766,0.7321106002783546,0.23878892499853116,-0.02595313395313396,gpt2-sm
0.4214,0.8029090494554768,0.20297153418610192,0.10024860424860425,gpt2-sm
0.367,0.5698203275279073,0.3037229358208569,0.07260438060438063,gpt2-sm
0.4738,0.7379995155890751,0.22948457615968368,0.16383835983835987,gpt2-sm
0.2567,0.5016444382756846,0.33124715982653763,0.15773997773997775,gpt2-sm
0.4105,0.8379792530041675,0.1834987973865804,2.1600021600021604e-07,gpt2-sm
0.368,0.6927477314854842,0.257528205007153,0.025656025656025656,gpt2-sm
0.4134,0.8451027782540743,0.1797408677556294,0.05934689934689935,gpt2-sm
0.3963,0.7939129857435288,0.2080788728806518,0.038216474216474214,gpt2-sm
0.1769,0.1782521388089899,0.42162420104875264,0.08385297585297587,gpt2-sm
0.2513,0.4086628099944117,0.36280935653099167,-0.0628767988767989,gpt2-sm
0.3252,0.452530633612713,0.35067237916512595,-0.044916728916728925,gpt2-sm
0.2869,0.32221831524077355,0.40056780272783704,0.15581894381894382,gpt2-sm
0.3815,0.7065039600351725,0.2507714499148837,0.029624489624489627,gpt2-sm
0.3621,0.7327380515212494,0.24295209293953582,0.058097518097518105,gpt2-sm
0.2361,0.313967870632083,0.39692103939479323,-0.12227769827769829,gpt2-sm
0.3682,0.6352180393829876,0.27976405995968234,-0.07447686247686248,gpt2-sm
0.394,0.8458324223847749,0.17901735341903122,0.018231294231294232,gpt2-sm
0.3478,0.5855592017448501,0.2980852831478039,0.03636698436698437,gpt2-sm
0.3939,0.7442160215905391,0.23477484508606958,0.006141210141210142,gpt2-sm
0.2998,0.36188547520280745,0.38127958839433806,0.04854002454002454,gpt2-sm
0.4247,0.8151955378707813,0.1964687912438936,0.1543834183834184,gpt2-sm
0.4278,0.8775353237377084,0.15891583806519446,0.06044722844722845,gpt2-sm
0.4375,0.7457047674563732,0.2306766816356739,-0.0021343701343701344,gpt2-sm
0.3233,0.5680857094271624,0.3058874056006285,-0.07164058764058764,gpt2-sm
0.3282,0.5645026398988121,0.3093965067913135,-0.019393831393831395,gpt2-sm
0.4067,0.7469790305206588,0.23095087069798545,-0.04617395817395818,gpt2-sm
0.4271,0.7689768076862038,0.22057666437028584,-0.06542512142512143,gpt2-sm
0.4127,0.8029398999340198,0.20296366367777902,-0.0338988218988219,gpt2-sm
0.4012,0.7324535386963131,0.238240238523298,-0.07724746124746125,gpt2-sm
0.436,0.790830687432253,0.2092790540050068,0.013258453258453259,gpt2-sm
0.3973,0.7389218582070544,0.2324985105731014,0.0745945945945946,gpt2-sm
0.1784,0.28237103141572506,0.40942908258825317,-0.0006808326808326808,gpt2-sm
0.1823,0.24315214859325243,0.41914841931901364,0.07742522942522943,gpt2-sm
0.3606,0.35147767306958344,0.3636663206405624,-0.1568009888009888,gpt2-sm
0.4393,0.7089804246729099,0.24875553353353883,-0.034743934743934744,gpt2-sm
0.2892,0.370859822093187,0.37710980764382357,0.09615619215619216,gpt2-sm
0.4278,0.8702317075973284,0.1635447906729441,0.04994900594900595,gpt2-sm
0.3867,0.6816315709551262,0.2564295280695504,0.1494220614220614,gpt2-sm
0.2546,0.1781411405784622,0.43580417724263515,-0.09380361380361381,gpt2-sm
0.3702,0.6803013292316971,0.2615111007608406,-0.032002472002472,gpt2-sm
0.3262,0.6008391716227411,0.29396514249992534,0.06742486342486342,gpt2-sm
0.4091,0.6687856552768846,0.2665871498376835,0.05308051708051709,gpt2-sm
0.4296,0.8785680665218089,0.15819850880776087,-0.028397320397320402,gpt2-sm
0.3411,0.4802442650555413,0.33268902172676584,-0.06814103614103614,gpt2-sm
0.369,0.7177024755617266,0.2449787772602947,-0.032853908853908854,gpt2-sm
0.3614,0.5627193046425244,0.30896238831118444,0.003332019332019332,gpt2-sm
0.4367,0.782467921714811,0.21301638422602143,0.04010662010662011,gpt2-sm
0.3355,0.6098476703037393,0.29063256667871956,0.015933639933639936,gpt2-sm
0.3432,0.6670825830029398,0.27179995579593597,-0.034136506136506144,gpt2-sm
0.4256,0.8395952110432678,0.18274789916387563,0.00742870342870343,gpt2-sm
0.2896,0.4802479256057478,0.3437755555401789,-0.017031077031077032,gpt2-sm
0.4389,0.8145803086732604,0.19706067290716545,0.03774328974328974,gpt2-sm
0.4183,0.8285024611218257,0.1891643560735507,0.02723753123753124,gpt2-sm
0.4838,0.752608049398971,0.22522676626339072,-0.12964793764793767,gpt2-sm
0.397,0.7869086107917372,0.210922514246563,0.0024392304392304395,gpt2-sm
0.3558,0.5509637470362296,0.31382987236076987,-0.04024793224793225,gpt2-sm
0.4132,0.6927855346565573,0.25632610012623996,-0.02896415296415297,gpt2-sm
0.4281,0.8227190973325912,0.1916212235637835,0.021056661056661055,gpt2-sm
0.3485,0.7145958911461503,0.24808827652905946,0.00967949767949768,gpt2-sm
0.3399,0.6125135643172378,0.28772471723631154,-0.03605358005358005,gpt2-sm
0.4271,0.8422303135947435,0.1811051835294743,0.008796044796044797,gpt2-sm
