,0
0,0.4919
1,0.4617
2,0.4892
3,0.4863
4,0.4468
5,0.497
6,0.4619
7,0.4817
8,0.4507
9,0.4941
10,0.4557
11,0.4747
12,0.5102
13,0.4921
14,0.4797
15,0.5057
16,0.4697
17,0.4188
18,0.493
19,0.5495
20,0.4754
21,0.5002
22,0.499
23,0.4666
24,0.4974
25,0.4971
26,0.511
27,0.45
28,0.5044
29,0.4627
30,0.4784
31,0.4871
32,0.4522
33,0.4664
34,0.4509
35,0.46
36,0.461
37,0.4674
38,0.4815
39,0.4874
40,0.533
41,0.4858
42,0.4795
43,0.4286
44,0.4812
45,0.5221
46,0.5006
47,0.4902
48,0.506
49,0.4964
50,0.4767
51,0.515
52,0.4621
53,0.4613
54,0.4478
55,0.451
56,0.4777
57,0.4665
58,0.482
59,0.4847
60,0.5072
61,0.4944
62,0.4581
63,0.4806
64,0.4623
65,0.5058
66,0.4834
67,0.4492
68,0.4876
69,0.4767
70,0.499
71,0.496
72,0.4969
73,0.4983
74,0.4666
75,0.5044
76,0.4882
77,0.4697
78,0.5314
79,0.4753
80,0.4643
81,0.4702
82,0.4702
83,0.4767
84,0.4647
85,0.4611
86,0.4803
87,0.4958
88,0.4781
89,0.4959
